Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,Webster03,#2KB2W,36,110,100,12,#m4tml,81987993,2024-02-22 23:51,2024-02-23 01:54,OFC Joker,1,20
2,vitamins,#PRZ41,5,-54,200,0,,,,,,,
3,GestalT,#MQASC,35,-76,100,8,,,,,,,
