Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,Last Ninja,#9L7TB,119,529.01,600.00,122.73,#m4tml,61458010,2024-02-22 00:21,2024-02-22 07:08,OFC Joker,2.00,470.99
2,囧囧囧囧,#3CK93,19,310.66,300.00,22.66,,,,,,,
3,Webster03,#2KB2W,57,183.34,200.00,49.80,,,,,,,
4,bad88,#VK7QG,144,-594.00,1290.00,125.99,,,,,,,
5,FaithNHope,#M15RJ,190,-900.00,900.00,149.81,,,,,,,
