Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,Beavis,#LT143,8,155.61,150.00,12.39,#m4tml,97109588,2024-02-22 04:59,2024-02-22 07:08,OFC Joker,2.00,13.08
2,Plush97,#3JD4V,8,-168.69,350.00,0.69,,,,,,,
