Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,Webster03,#2KB2W,48,59.08,356.00,44.17,#m4tml,90411312,2024-02-23 01:54,2024-02-23 11:02,OFC Joker,2.00,82.74
2,Beavis,#LT143,48,-141.82,200.00,38.57,,,,,,,
