Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,WhereMyPhone,#7F7LF,29,434.58,500.00,37.83,#m4tml,31522983,2024-02-21 16:03,2024-02-22 05:05,Progressive OFC,2.00,74.32
2,Beavis,#LT143,29,10.37,200.00,25.80,,,,,,,
3,Vegas collector,#WD3ES,24,-519.27,600.00,10.69,,,,,,,
