Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,Webster03,#2KB2W,111,462.61,450.00,115.39,#m4tml,24344911,2024-02-22 16:08,2024-02-23 01:54,OFC Joker,2.00,193.10
2,bad88,#0SQ8Q,68,65.79,444.00,60.21,,,,,,,
3,Plush97,#3JD4V,43,-721.50,1205.00,17.50,,,,,,,
