Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,Dragonkillerz,#XXLYE,123,80.11,300.00,13.66,#m4tml,88262480,2024-02-19 21:01,2024-02-20 01:52,PLO6(H/L),1.00,224.17
2,Level🆙,#KKXRQ,27,70.62,200.00,10.00,,,,,,,
3,Ideal Lucky Fish,#TN109,152,40.28,1000.00,30.03,,,,,,,
4,😱 Mayhem 😨,#98CCK,28,25.87,100.00,4.29,,,,,,,
5,Rocky Cole,#SG13Y,126,4.64,150.00,29.17,,,,,,,
6,🏴Blackout,#UBN1Q,24,-2.56,125.00,1.63,,,,,,,
7,GOING NUTZ,#DK5JN,81,-59.14,200.00,19.29,,,,,,,
8,Bjorn,#ZX8CX,148,-73.37,1103.00,39.18,,,,,,,
9,Gus,#AYJX8,122,-100.00,100.00,32.50,,,,,,,
10,Krispy Krunch,#VYHCE,118,-210.62,400.00,44.42,,,,,,,
