Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,WhereMyPhone,#7F7LF,43,447.33,300.00,35.12,#m4tml,91184450,2024-02-22 16:07,2024-02-23 11:02,OFC Joker,1.50,235.50
2,Webster03,#2KB2W,55,228.25,250.00,39.14,,,,,,,
3,Annie Pots,#G96XF,134,67.37,350.00,88.84,,,,,,,
4,vitamins,#PRZ41,137,-978.45,1200.00,72.40,,,,,,,
