Rank,Player,ID,Hands,Profit,BuyIn,Tips,ClubCode,GameCode,DateStarted,DateEnded,GameType,BigBlind,TotalTips
1,lastgame,#2Z7D8,35,525.48,1000.00,55.65,#m4tml,32577918,2024-02-21 16:04,2024-02-21 19:04,OFC Joker,5.00,467.51
2,Jessman915,#91275,131,507.01,1500.00,226.84,,,,,,,
3,FaithNHope,#M15RJ,119,-1500.00,1500.00,185.02,,,,,,,
